title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Last King of Scotland",movie,"Biography, Drama, History",2006,tt0455590,7.6,200838,
Flatliners,movie,"Drama, Horror, Sci-Fi",1990,tt0099582,6.6,96095,
"Down by Law",movie,"Comedy, Crime, Drama",1986,tt0090967,7.6,57028,
"The Spanish Apartment",movie,"Comedy, Drama, Romance",2002,tt0283900,7.3,43424,
Rope,movie,"Crime, Drama, Mystery",1948,tt0040746,7.9,160194,
"The Holiday",movie,"Comedy, Romance",2006,tt0457939,7,347850,
"School of Rock",movie,"Comedy, Music",2003,tt0332379,7.2,344499,
"Nowhere in Africa",movie,"Biography, Drama, History",2001,tt0161860,7.5,14441,
"A Shot in the Dark",movie,"Comedy, Crime, Mystery",1964,tt0058586,7.3,32375,
"Meet the Parents",movie,"Comedy, Romance",2000,tt0212338,7,367425,
"Vivre sa vie",movie,Drama,1962,tt0056663,7.8,36393,
"Jules and Jim",movie,"Drama, Romance",1962,tt0055032,7.7,45792,
"The People vs. Larry Flynt",movie,"Biography, Drama",1996,tt0117318,7.3,103265,
"Free Willy",movie,"Adventure, Drama, Family",1993,tt0106965,6,85960,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,334020,
Speed,movie,"Action, Adventure, Thriller",1994,tt0111257,7.3,407565,
"The Recruit",movie,"Action, Thriller",2003,tt0292506,6.6,144712,
"The Dirty Dozen",movie,"Action, Adventure, War",1967,tt0061578,7.7,81569,
"The Legend of Zorro",movie,"Action, Adventure, Romance",2005,tt0386140,6,111009,
"Last Days",movie,"Drama, Music",2005,tt0403217,5.7,24304,
Ray,movie,"Biography, Drama, Music",2004,tt0350258,7.7,161122,
Godzilla,movie,"Horror, Sci-Fi",1954,tt0047034,7.6,42965,
"Godzilla Raids Again",movie,"Action, Horror, Sci-Fi",1955,tt0048127,5.7,9066,
"Mothra vs. Godzilla",movie,"Adventure, Fantasy, Sci-Fi",1964,tt0058379,6.5,11065,
Anatomy,movie,"Horror, Thriller",2000,tt0187696,6,14386,
"Anatomy 2",movie,"Horror, Sci-Fi, Thriller",2003,tt0312358,5.1,4048,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,69620,
Giant,movie,"Drama, Western",1956,tt0049261,7.6,43747,
"The Last Metro",movie,"Drama, Romance, War",1980,tt0080610,7.3,16421,
"The Soft Skin",movie,"Drama, Romance",1964,tt0058458,7.5,8755,
"Inland Empire",movie,"Drama, Fantasy, Mystery",2006,tt0460829,6.8,66011,
"The Mummy Returns",movie,"Action, Adventure, Fantasy",2001,tt0209163,6.4,357216,
"The Mummy: Tomb of the Dragon Emperor",movie,"Action, Adventure, Fantasy",2008,tt0859163,5.2,175335,
Next,movie,"Action, Sci-Fi, Thriller",2007,tt0435705,6.2,170426,
"Au Revoir les Enfants",movie,"Drama, War",1987,tt0092593,8,37371,
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,75893,
Elephant,movie,"Crime, Drama, Thriller",2003,tt0363589,7.1,100419,
"The Devil's Advocate",movie,"Drama, Fantasy, Mystery",1997,tt0118971,7.5,421902,
"Shoot the Piano Player",movie,"Crime, Drama, Thriller",1960,tt0054389,7.4,21301,
"You, Me and Dupree",movie,"Comedy, Romance",2006,tt0463034,5.6,85556,
"50 First Dates",movie,"Comedy, Drama, Romance",2004,tt0343660,6.8,397709,
"Russian Dolls",movie,"Comedy, Drama, Romance",2005,tt0409184,7,21622,
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,695961,
"Fear and Loathing in Las Vegas",movie,"Adventure, Comedy, Drama",1998,tt0120669,7.5,309802,
"The Karate Kid",movie,"Action, Drama, Family",1984,tt0087538,7.3,258154,
"Marie Antoinette",movie,"Biography, Drama, History",2006,tt0422720,6.5,127099,
