title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Catch Me If You Can",movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1160618,
"A.I. Artificial Intelligence",movie,"Adventure, Drama, Sci-Fi",2001,tt0212720,7.2,330855,
Troy,movie,"Action, Adventure, Drama",2004,tt0332452,7.3,592191,
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,130888,
"La Jetée",movie,"Drama, Romance, Sci-Fi",1962,tt0056119,8.2,38516,
Twister,movie,"Action, Adventure, Thriller",1996,tt0117998,6.6,243662,
Ben-Hur,movie,"Adventure, Drama",1959,tt0052618,8.1,262745,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,676672,
"Harry Potter and the Sorcerer's Stone",movie,"Adventure, Family, Fantasy",2001,tt0241527,7.7,901827,
"Harry Potter and the Chamber of Secrets",movie,"Adventure, Family, Fantasy",2002,tt0295297,7.4,727431,
"Harry Potter and the Prisoner of Azkaban",movie,"Adventure, Family, Fantasy",2004,tt0304141,7.9,727288,
"Harry Potter and the Goblet of Fire",movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,715599,
"Harry Potter and the Order of the Phoenix",movie,"Action, Adventure, Family",2007,tt0373889,7.5,664586,
"Pearl Harbor",movie,"Action, Drama, Romance",2001,tt0213149,6.2,360791,
Aliens,movie,"Action, Adventure, Horror",1986,tt0090605,8.4,806992,
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2328677,
Contact,movie,"Drama, Mystery, Sci-Fi",1997,tt0118884,7.5,302921,
"The Bridges of Madison County",movie,"Drama, Romance",1995,tt0112579,7.6,92830,
"The Shining",movie,"Drama, Horror",1980,tt0081505,8.4,1163706,
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,98215,
"The Sixth Sense",movie,"Drama, Mystery, Thriller",1999,tt0167404,8.2,1096905,
"The Last Emperor",movie,"Biography, Drama, History",1987,tt0093389,7.7,115689,
"V for Vendetta",movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1212972,
Faces,movie,Drama,1968,tt0062952,7.4,12304,
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,354095,
"Harry Potter and the Half-Blood Prince",movie,"Action, Adventure, Family",2009,tt0417741,7.6,626239,
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1321433,
"Gone with the Wind",movie,"Drama, Romance, War",1939,tt0031381,8.2,345756,
"Home Alone",movie,"Comedy, Family",1990,tt0099785,7.7,694667,
"Home Alone 2: Lost in New York",movie,"Adventure, Comedy, Crime",1992,tt0104431,6.9,428128,
"Little Miss Sunshine",movie,"Comedy, Drama",2006,tt0449059,7.8,536285,
Gattaca,movie,"Drama, Sci-Fi, Thriller",1997,tt0119177,7.7,335229,
"Mr. & Mrs. Smith",movie,"Action, Comedy, Crime",2005,tt0356910,6.5,566228,
"Mrs. Doubtfire",movie,"Comedy, Drama",1993,tt0107614,7.1,303852,
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,152610,
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1904849,
"Austin Powers: The Spy Who Shagged Me",movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,255850,
JFK,movie,"Drama, History, Thriller",1991,tt0102138,8,176068,
"Underworld: Evolution",movie,"Action, Fantasy, Thriller",2006,tt0401855,6.7,213752,
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,285445,
"The Mask",movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,445548,
"Black Hawk Down",movie,"Action, Drama, History",2001,tt0265086,7.7,438984,
